[41 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 42 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[42 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 42 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[43 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 43 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[44 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 42 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[45 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 42 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[46 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 42 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[47 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 42 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[48 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 41 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[49 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 41 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[50 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 41 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[51 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 41 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[52 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 41 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[53 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 40 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[54 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 40 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[55 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 39 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[56 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 40 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[57 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 40 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[58 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 41 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[59 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 41 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[60 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 42 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[61 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 41 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[62 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 41 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[63 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 40 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[64 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 39 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[65 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 39 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[66 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 38 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
